,title,director_and_actors,year,ratings,number_of_users_rated
106,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",(2010),8.2,"8.2 based on 166,861 user ratings"
107,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",(1960),8.2,"8.2 based on 174,742 user ratings"
108,The Father,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",(2020),8.2,"8.2 based on 113,924 user ratings"
109,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",(1944),8.2,"8.2 based on 151,763 user ratings"
110,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",(1927),8.2,"8.2 based on 168,837 user ratings"
111,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",(1976),8.2,"8.2 based on 774,680 user ratings"
112,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",(1971),8.2,"8.2 based on 795,950 user ratings"
113,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",(2011),8.2,"8.2 based on 235,115 user ratings"
114,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",(1973),8.2,"8.2 based on 253,341 user ratings"
115,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",(1983),8.2,"8.2 based on 791,512 user ratings"
116,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",(2000),8.2,"8.2 based on 822,175 user ratings"
117,Le fabuleux destin d'Amélie Poulain,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",(2001),8.2,"8.2 based on 732,209 user ratings"
118,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",(2019),8.2,"8.2 based on 518,898 user ratings"
119,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",(1955),8.2,"8.2 based on 29,852 user ratings"
120,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",(1962),8.2,"8.2 based on 307,257 user ratings"
121,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",(2010),8.2,"8.2 based on 797,011 user ratings"
122,Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",(1965),8.2,"8.2 based on 246,877 user ratings"
